,election_date,election_type,harmonised_code,harmonised_name,pc1
229,2000_10_08,president_a,T_2062,Łomża,-0.1357095658042668
230,2000_10_08,president_a,T_2063,Suwałki,0.01651129575375765
231,2000_10_08,president_a,T_2201,bytowski,0.04911260869732603
232,2000_10_08,president_a,T_2202,chojnicki,0.025159606175584215
233,2000_10_08,president_a,T_2203,człuchowski,0.1886333236494413
234,2000_10_08,president_a,T_2204,gdański,-0.04139636320555412
235,2000_10_08,president_a,T_2205,kartuski,-0.251843203575688
236,2000_10_08,president_a,T_2206,kościerski,-0.08671535526052143
237,2000_10_08,president_a,T_2207,kwidzyński,0.10967543908311189
238,2000_10_08,president_a,T_2208,lęborski,0.06452279524470272
239,2000_10_08,president_a,T_2209,malborski,0.12867587299237593
240,2000_10_08,president_a,T_2210,nowodworski,0.09342245427155427
241,2000_10_08,president_a,T_2211,pucki,-0.10495257605249458
242,2000_10_08,president_a,T_2212,słupski,0.1516699173313132
243,2000_10_08,president_a,T_2213,starogardzki,0.020648724696564758
244,2000_10_08,president_a,T_2214,tczewski,0.033767946590096076
245,2000_10_08,president_a,T_2215,wejherowski,-0.15495590963103284
